VPC,TransitGatewayAttachmentId,TransitGatewayId,ResourceType,ResourceId,State,AssociationState,AssociationTransitGatewayRouteTableId
"devops-locked-vpc","-","-","-","-","-","-","-"
"devops-private-vpc","-","-","-","-","-","-","-"
"devops-public-vpc","-","-","-","-","-","-","-"
