VPC,NetworkInterfaceId,SubnetId,VpcId,InterfaceType,Status,PrivateIpAddress,PublicIp,MacAddress,Description,OwnerId,AttachmentId,InstanceId,DeviceIndex,SecurityGroups,Tags
"devops-private-vpc","eni-0dd4ae597fddfb295","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.165","-","02:18:8c:a2:8a:b9","VPC Endpoint Interface vpce-0e10d94b19bb8ff28","***","ela-attach-08c1e58a13082b3ec","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-06cda59431066f6c0","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.124","-","02:72:0d:fd:5e:19","VPC Endpoint Interface vpce-0a040a959ee6bfde9","***","ela-attach-0587fab84c03f797e","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-0820b63c739ae490a","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.113","-","02:0a:62:c6:0c:95","VPC Endpoint Interface vpce-065c293c757e53be6","***","ela-attach-0f2511b6102bda437","-","1","sg-0cdf97b87f269a5a2=network-mapping-PrivateSSMEndpointSG-y9kAAznFSNEZ",""
"devops-private-vpc","eni-02f2e841b15a5533c","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.200","-","02:9e:23:25:fa:a3","VPC Endpoint Interface vpce-0612cbc252b5682ed","***","ela-attach-02c2e77a733bc4ff9","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-03ee7d9c1a7b58bca","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.213","-","02:a6:1b:2c:70:d1","VPC Endpoint Interface vpce-0a0579fa69e01569c","***","ela-attach-006e0d798bb7f0160","-","1","sg-0cdf97b87f269a5a2=network-mapping-PrivateSSMEndpointSG-y9kAAznFSNEZ",""
"devops-private-vpc","eni-0212ca58eeb1bc0fc","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.56","-","02:72:59:9d:9c:5b","VPC Endpoint Interface vpce-01ea8c2708257f1c9","***","ela-attach-00e3240f3c74d57c3","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-0e52bbfba573100be","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.111","-","02:45:7b:3b:52:5d","VPC Endpoint Interface vpce-0bdcdce55c91654ce","***","ela-attach-0a272c9f537e74ed4","-","1","sg-0cdf97b87f269a5a2=network-mapping-PrivateSSMEndpointSG-y9kAAznFSNEZ",""
"devops-public-vpc","eni-097f65912e6e582e8","subnet-03ea1805ea65cba01","vpc-028b2dc2728406fd9","nat_gateway","in-use","10.0.1.190","13.223.16.32","02:74:b7:50:ba:27","Interface for NAT Gateway nat-049d8400adc86f196","***","ela-attach-022b01bfba451b920","-","1","",""
"devops-public-vpc","eni-07d7dc8112f5ab038","subnet-03ea1805ea65cba01","vpc-028b2dc2728406fd9","transit_gateway","in-use","10.0.1.193","-","02:a6:83:be:86:29","Network Interface for Transit Gateway Attachment tgw-attach-0189b5caa6e869108","***","ela-attach-05c7491e4a4094053","-","1","",""
"devops-public-vpc","eni-03fd376cea628ecb2","subnet-03ea1805ea65cba01","vpc-028b2dc2728406fd9","interface","in-use","10.0.1.18","3.213.170.119","02:b6:5d:fb:f5:e9","Bastion ENI for Public Subnet","***","eni-attach-0661d7160c981be30","i-0e64cbd9718ff9743","0","sg-0b554ea1beb59c034=network-mapping-BastionRemoteAccessSG-diMC6pIwW4kG;sg-0a5369bfe8178b904=network-mapping-EC2InstanceSecurityGroup-zHu59SlBh4tM","aws:cloudformation:logical-id=BastionENI;Name=DevOps-BastionENI;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;aws:cloudformation:stack-name=network-mapping;DevOps=true"
